"","x"
"1",NA
"2",NA
"3",NA
"4",NA
"5",NA
"6",NA
"7",NA
"8",NA
"9",NA
"10",NA
"11",NA
"12",NA
"13",NA
"14",NA
"15",NA
"16",NA
"17",NA
"18",NA
"19",NA
"20",NA
"21",NA
"22",NA
"23",NA
"24",NA
"25",NA
"26",NA
"27",NA
"28",NA
"29",NA
"30",NA
"31",NA
"32",NA
"33",NA
"34",NA
"35",NA
"36",NA
"37",NA
"38",NA
"39",NA
"40",NA
"41",NA
"42",NA
"43",NA
"44",NA
"45",NA
"46",NA
"47",NA
"48",NA
"49",NA
"50",NA
"51",NA
"52",NA
"53",NA
"54",NA
"55",NA
"56",NA
"57",NA
"58",NA
"59",NA
"60",NA
"61",NA
"62",NA
"63",NA
"64",NA
"65",NA
"66",NA
"67",NA
"68",NA
"69",NA
"70",NA
"71",NA
"72",NA
"73",NA
"74",NA
"75",NA
"76",NA
"77",NA
"78",NA
"79",NA
"80",NA
"81",NA
"82",NA
"83",NA
"84",NA
"85",NA
"86",NA
"87",NA
"88",NA
"89",NA
"90",NA
"91",NA
"92",NA
"93",NA
"94",NA
"95",NA
"96",NA
"97",NA
"98",NA
"99",NA
"100",NA
"101",NA
"102",NA
"103",NA
"104",NA
"105",NA
"106",NA
"107",NA
"108",NA
"109",NA
"110",NA
"111",NA
"112",NA
"113",NA
"114",NA
"115",NA
"116",NA
"117",NA
"118",NA
"119",NA
"120",NA
"121",NA
"122",NA
"123",NA
"124",NA
"125",NA
"126",NA
"127",NA
"128",NA
"129",NA
"130",NA
"131",NA
"132",NA
"133",NA
"134",NA
"135",NA
"136",NA
"137",NA
"138",NA
"139",NA
"140",NA
"141",NA
"142",NA
"143",NA
"144",NA
"145",NA
"146",NA
"147",NA
"148",NA
"149",NA
"150",NA
"151",NA
"152",NA
"153",NA
"154",NA
"155",NA
"156",NA
"157",NA
"158",NA
"159",NA
"160",NA
"161",NA
"162",NA
"163",NA
"164",NA
"165",NA
"166",NA
"167",NA
"168",NA
"169",NA
"170",NA
"171",NA
"172",NA
"173",NA
"174",NA
"175",NA
"176",NA
"177",NA
"178",NA
"179",NA
"180",NA
"181",NA
"182",NA
"183",NA
"184",NA
"185",NA
"186",NA
"187",NA
"188",NA
"189",NA
"190",NA
"191",NA
"192",NA
"193",NA
"194",NA
"195",NA
"196",NA
"197",NA
"198",NA
"199",NA
"200",NA
"201",NA
"202",NA
"203",NA
"204",NA
"205",NA
"206",NA
"207",NA
"208",NA
"209",NA
"210",NA
"211",NA
"212",NA
"213",NA
"214",NA
"215",NA
"216",NA
"217",NA
"218",NA
"219",NA
"220",NA
"221",NA
"222",NA
"223",NA
"224",NA
"225",NA
"226",NA
"227",NA
"228",NA
"229",NA
"230",NA
"231",NA
"232",NA
"233",NA
"234",NA
"235",NA
"236",NA
"237",NA
"238",NA
"239",NA
"240",NA
"241",NA
"242",NA
"243",NA
"244",NA
"245",NA
"246",NA
"247",NA
"248",NA
"249",NA
"250",NA
"251",NA
"252",NA
"253",NA
"254",NA
"255",NA
"256",NA
"257",NA
"258",NA
"259",NA
"260",NA
"261",NA
"262",NA
"263",NA
"264",NA
"265",NA
"266",NA
"267",NA
"268",NA
"269",NA
"270",NA
"271",NA
"272",NA
"273",NA
"274",NA
"275",NA
"276",NA
"277",NA
"278",NA
"279",7.21
"280",NA
"281",NA
"282",NA
"283",NA
"284",NA
"285",5.99
"286",NA
"287",NA
"288",NA
"289",NA
"290",NA
"291",4.68
"292",NA
"293",NA
"294",NA
"295",NA
"296",NA
"297",3.47
"298",NA
"299",NA
"300",NA
"301",NA
"302",NA
"303",2.42
"304",NA
"305",NA
"306",NA
"307",NA
"308",NA
"309",NA
"310",NA
"311",NA
"312",NA
"313",NA
"314",NA
"315",1.43
"316",NA
"317",NA
"318",NA
"319",NA
"320",NA
"321",2.76
"322",NA
"323",NA
"324",NA
"325",NA
"326",NA
"327",3.41
"328",NA
"329",NA
"330",NA
"331",NA
"332",NA
"333",1.3
"334",NA
"335",NA
"336",NA
"337",NA
"338",NA
"339",3.15
"340",NA
"341",NA
"342",NA
"343",NA
"344",NA
"345",2.87
"346",NA
"347",NA
"348",NA
"349",NA
"350",NA
"351",NA
"352",NA
"353",NA
"354",NA
"355",NA
"356",NA
"357",2.27
"358",NA
"359",NA
"360",NA
"361",NA
"362",NA
"363",2.33
"364",NA
"365",NA
"366",NA
"367",NA
"368",NA
"369",1.84
"370",NA
"371",NA
"372",NA
"373",NA
"374",NA
"375",7.13
"376",NA
"377",NA
"378",NA
"379",NA
"380",NA
"381",NA
"382",NA
"383",NA
"384",NA
"385",NA
"386",NA
"387",2.05
"388",NA
"389",NA
"390",NA
"391",NA
"392",NA
"393",2.05
"394",NA
"395",NA
"396",NA
"397",NA
"398",NA
"399",2.58
"400",NA
"401",NA
"402",NA
"403",NA
"404",NA
"405",3.26
"406",NA
"407",NA
"408",NA
"409",NA
"410",NA
"411",NA
"412",NA
"413",NA
"414",NA
"415",NA
"416",NA
"417",3.54
"418",NA
"419",NA
"420",NA
"421",NA
"422",NA
"423",4.4
"424",NA
"425",NA
"426",NA
"427",NA
"428",NA
"429",2.04
"430",NA
"431",NA
"432",NA
"433",NA
"434",NA
"435",4.36
"436",NA
"437",NA
"438",NA
"439",NA
"440",NA
"441",3.46
"442",NA
"443",NA
"444",NA
"445",NA
"446",NA
"447",2.99
"448",NA
"449",NA
"450",NA
"451",NA
"452",NA
"453",2
"454",NA
"455",NA
"456",NA
"457",NA
"458",NA
"459",NA
"460",NA
"461",NA
"462",NA
"463",NA
"464",NA
"465",NA
"466",NA
"467",NA
"468",NA
"469",NA
"470",NA
"471",NA
"472",NA
"473",NA
"474",NA
"475",NA
"476",NA
"477",2.42
"478",NA
"479",NA
"480",NA
"481",NA
"482",NA
"483",NA
"484",NA
"485",NA
"486",NA
"487",NA
"488",NA
"489",NA
"490",NA
"491",NA
"492",NA
"493",NA
"494",NA
"495",NA
"496",NA
"497",NA
"498",NA
"499",NA
"500",NA
"501",2.76
"502",NA
"503",NA
"504",NA
"505",NA
"506",NA
"507",NA
"508",NA
"509",NA
"510",NA
"511",NA
"512",NA
"513",NA
"514",NA
"515",NA
"516",NA
"517",NA
"518",NA
"519",NA
"520",NA
"521",NA
"522",NA
"523",NA
"524",NA
"525",NA
"526",NA
"527",NA
"528",NA
"529",NA
"530",NA
"531",NA
"532",NA
"533",NA
"534",NA
"535",NA
"536",NA
"537",NA
"538",NA
"539",NA
"540",NA
"541",NA
"542",NA
"543",NA
"544",NA
"545",NA
"546",NA
"547",NA
"548",NA
"549",NA
"550",NA
"551",NA
"552",NA
"553",NA
"554",NA
"555",1.48
"556",NA
"557",NA
"558",NA
"559",NA
"560",NA
"561",3.54
"562",NA
"563",NA
"564",NA
"565",NA
"566",NA
"567",6.63
"568",NA
"569",NA
"570",NA
"571",NA
"572",NA
"573",10.9
"574",NA
"575",NA
"576",NA
"577",NA
"578",NA
"579",1.63
"580",NA
"581",NA
"582",NA
"583",NA
"584",NA
"585",5.76
"586",NA
"587",NA
"588",NA
"589",NA
"590",NA
"591",5.52
"592",NA
"593",NA
"594",NA
"595",NA
"596",NA
"597",12.2
"598",NA
"599",NA
"600",NA
"601",NA
"602",NA
"603",4.98
"604",NA
"605",NA
"606",NA
"607",NA
"608",NA
"609",4.39
"610",NA
"611",NA
"612",NA
"613",NA
"614",NA
"615",1.65
"616",NA
"617",NA
"618",NA
"619",NA
"620",NA
"621",4.53
"622",NA
"623",NA
"624",NA
"625",NA
"626",NA
"627",4.3
"628",NA
"629",NA
"630",NA
"631",NA
"632",NA
"633",NA
"634",NA
"635",NA
"636",NA
"637",NA
"638",NA
"639",15.8
"640",NA
"641",NA
"642",NA
"643",NA
"644",NA
"645",5.44
"646",NA
"647",NA
"648",NA
"649",NA
"650",NA
"651",3.09
"652",NA
"653",NA
"654",NA
"655",NA
"656",NA
"657",3.61
"658",NA
"659",NA
"660",NA
"661",NA
"662",NA
"663",4.19
"664",NA
"665",NA
"666",NA
"667",NA
"668",NA
"669",7.37
"670",NA
"671",NA
"672",NA
"673",NA
"674",NA
"675",2.68
"676",NA
"677",NA
"678",NA
"679",NA
"680",NA
"681",NA
"682",NA
"683",NA
"684",NA
"685",NA
"686",NA
"687",2.21
"688",NA
"689",NA
"690",NA
"691",NA
"692",NA
"693",1.99
"694",NA
"695",NA
"696",NA
"697",NA
"698",NA
"699",1.78
"700",NA
"701",NA
"702",NA
"703",NA
"704",NA
"705",2.03
"706",NA
"707",NA
"708",NA
"709",NA
"710",NA
"711",2.11
"712",NA
"713",NA
"714",NA
"715",NA
"716",NA
"717",1.82
"718",NA
"719",NA
"720",NA
"721",NA
"722",NA
"723",2.37
"724",NA
"725",NA
"726",NA
"727",NA
"728",NA
"729",3.41
"730",NA
"731",NA
"732",NA
"733",NA
"734",NA
"735",NA
"736",NA
"737",NA
"738",NA
"739",NA
"740",NA
"741",4.96
"742",NA
"743",NA
"744",NA
"745",NA
"746",NA
"747",2.3
"748",NA
"749",NA
"750",NA
"751",NA
"752",NA
"753",4.67
"754",NA
"755",NA
"756",NA
"757",NA
"758",NA
"759",2.87
"760",NA
"761",NA
"762",NA
"763",NA
"764",NA
"765",1.53
"766",NA
"767",NA
"768",NA
"769",NA
"770",NA
"771",1.28
"772",NA
"773",NA
"774",NA
"775",NA
"776",NA
"777",NA
"778",NA
"779",NA
"780",NA
"781",NA
"782",NA
"783",4.17
"784",NA
"785",NA
"786",NA
"787",NA
"788",NA
"789",2.75
"790",NA
"791",NA
"792",NA
"793",NA
"794",NA
"795",2.83
"796",NA
"797",NA
"798",NA
"799",NA
"800",NA
"801",1.22
"802",NA
"803",NA
"804",NA
"805",NA
"806",NA
"807",4.19
"808",NA
"809",NA
"810",NA
